"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","DelayRising","DelayFalling","WorstCase","expectedDelayCor","resultDelayCor","abs(errorCor)"
"1",37,56,1,6,0,37,56,1,6,0,1.44517e-11,1.44212e-11,1.44517e-11,1.44517e-11,1.53707e-11,6.35911346070013
"2",70,0,7,0,23,70,0,7,0,23,2.2599e-11,2.11921e-11,2.2599e-11,2.2599e-11,2.06069e-11,8.81499181379707
"3",47,0,0,42,11,47,0,0,42,11,2.19248e-11,2.0644e-11,2.19248e-11,2.19248e-11,1.92886e-11,12.0238268992191
"4",13,33,5,7,42,13,33,5,7,42,2.45945e-11,2.28564e-11,2.45945e-11,2.45945e-11,2.63267e-11,7.04303807761899
"5",0,0,0,87,13,0,0,0,87,13,2.50183e-11,1.91788e-11,2.50183e-11,2.50183e-11,2.51378e-11,0.477650359936521
"6",0,0,45,55,0,0,0,45,55,0,2.14151e-11,1.762e-11,2.14151e-11,2.14151e-11,2.14414e-11,0.122810540226292
"7",0,12,33,28,27,0,12,33,28,27,2.45059e-11,2.14633e-11,2.45059e-11,2.45059e-11,2.43204e-11,0.756960568679377
"8",8,0,79,13,0,8,0,79,13,0,1.75477e-11,1.7012e-11,1.75477e-11,1.75477e-11,1.96264e-11,11.8459969112761
"9",37,0,17,23,23,37,0,17,23,23,2.32363e-11,2.1752e-11,2.32363e-11,2.32363e-11,2.24335e-11,3.4549390393479
"10",0,0,79,0,21,0,0,79,0,21,2.41095e-11,1.97707e-11,2.41095e-11,2.41095e-11,2.45814e-11,1.95731972873763
"11",0,6,0,74,20,0,6,0,74,20,2.41663e-11,2.1196e-11,2.41663e-11,2.41663e-11,2.59461e-11,7.36480139698672
"12",100,0,0,0,0,100,0,0,0,0,7.85961e-12,9.11427e-12,9.11427e-12,9.11427e-12,1.97058e-11,116.208209763371
"13",27,4,11,29,29,27,4,11,29,29,2.39054e-11,2.2296e-11,2.39054e-11,2.39054e-11,2.39005e-11,0.0204974608247421
"14",0,15,32,28,25,0,15,32,28,25,2.43204e-11,2.13054e-11,2.43204e-11,2.43204e-11,2.3345e-11,4.01062482524959
"15",0,100,0,0,0,0,100,0,0,0,1.20193e-11,1.11709e-11,1.20193e-11,1.20193e-11,1.34836e-11,12.1829058264624
"16",37,56,5,0,2,37,56,5,0,2,1.53707e-11,1.52647e-11,1.53707e-11,1.53707e-11,1.44517e-11,5.97890792221565
"17",16,23,0,60,1,16,23,0,60,1,2.02077e-11,1.92767e-11,2.02077e-11,2.02077e-11,2.10756e-11,4.29489748957079
"18",24,22,29,11,14,24,22,29,11,14,2.17659e-11,2.04433e-11,2.17659e-11,2.17659e-11,1.54922e-11,28.8235267092103
"19",13,44,23,20,0,13,44,23,20,0,1.77764e-11,1.71714e-11,1.77764e-11,1.77764e-11,1.6987e-11,4.44071915573455
"20",19,24,0,9,48,19,24,0,9,48,2.49674e-11,2.31569e-11,2.49674e-11,2.49674e-11,2.52742e-11,1.22880235827521
"21",0,50,6,18,26,0,50,6,18,26,2.42236e-11,2.12105e-11,2.42236e-11,2.42236e-11,2.42086e-11,0.0619230832741624
"22",59,19,0,22,0,59,19,0,22,0,1.7442e-11,1.68797e-11,1.7442e-11,1.7442e-11,1.78243e-11,2.19183579864695
"23",34,32,0,0,34,34,32,0,0,34,2.38356e-11,2.22195e-11,2.38356e-11,2.38356e-11,2.33657e-11,1.97142089983052
"24",3,0,0,23,74,3,0,0,23,74,2.59667e-11,2.39556e-11,2.59667e-11,2.59667e-11,2.61077e-11,0.543003154039612
"25",22,32,9,0,37,22,32,9,0,37,2.41263e-11,2.24686e-11,2.41263e-11,2.41263e-11,2.44205e-11,1.21941615581336
