"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayCor","resultDelayCor","abs(errorCor)"
"1",37,56,1,6,0,37,56,1,6,0,3.38801e-12,3.38801e-12,3.4851e-12,2.86569402097396
"2",70,0,7,0,23,70,0,7,0,23,4.40837e-12,4.40837e-12,4.14564e-12,5.95979920015788
"3",47,0,0,42,11,47,0,0,42,11,4.33056e-12,4.33056e-12,3.99709e-12,7.7003897879258
"4",13,33,5,7,42,13,33,5,7,42,4.68147e-12,4.68147e-12,4.28215e-12,8.52979940061562
"5",0,0,0,87,13,0,0,0,87,13,4.65318e-12,4.65318e-12,4.67462e-12,0.460760168315
"6",0,0,45,55,0,0,0,45,55,0,3.81129e-12,3.81129e-12,3.8161e-12,0.126203988675755
"7",0,12,33,28,27,0,12,33,28,27,3.99037e-12,3.99037e-12,3.95775e-12,0.81746805434082
"8",8,0,79,13,0,8,0,79,13,0,3.76791e-12,3.76791e-12,3.4826e-12,7.57210230605295
"9",37,0,17,23,23,37,0,17,23,23,4.5047e-12,4.5047e-12,4.39599e-12,2.41325726463472
"10",0,0,79,0,21,0,0,79,0,21,4.19668e-12,4.19668e-12,4.27727e-12,1.92032749697377
"11",0,6,0,74,20,0,6,0,74,20,3.94052e-12,3.94052e-12,4.80231e-12,21.869956249429
"12",100,0,0,0,0,100,0,0,0,0,2.52401e-12,2.52401e-12,4.02922e-12,59.6356591297182
"13",27,4,11,29,29,27,4,11,29,29,4.595e-12,4.595e-12,4.59482e-12,0.00391730141457991
"14",0,15,32,28,25,0,15,32,28,25,3.95775e-12,3.95775e-12,4.52002e-12,14.2068094245468
"15",0,100,0,0,0,0,100,0,0,0,2.22602e-12,2.22602e-12,3.23666e-12,45.4012093332495
"16",37,56,5,0,2,37,56,5,0,2,3.4851e-12,3.4851e-12,3.38801e-12,2.78585980316204
"17",16,23,0,60,1,16,23,0,60,1,4.11627e-12,4.11627e-12,3.49095e-12,15.1914233031361
"18",24,22,29,11,14,24,22,29,11,14,4.29597e-12,4.29597e-12,3.51011e-12,18.2929582841593
"19",13,44,23,20,0,13,44,23,20,0,3.8044e-12,3.8044e-12,3.70468e-12,2.62117548102198
"20",19,24,0,9,48,19,24,0,9,48,4.73169e-12,4.73169e-12,4.76983e-12,0.806054496385
"21",0,50,6,18,26,0,50,6,18,26,3.93966e-12,3.93966e-12,3.93786e-12,0.0456892219125371
"22",59,19,0,22,0,59,19,0,22,0,3.76881e-12,3.76881e-12,3.81513e-12,1.22903515963926
"23",34,32,0,0,34,34,32,0,0,34,4.57553e-12,4.57553e-12,4.51182e-12,1.39240699984483
"24",3,0,0,23,74,3,0,0,23,74,4.86392e-12,4.86392e-12,4.88117e-12,0.354652214674589
"25",22,32,9,0,37,22,32,9,0,37,4.6156e-12,4.6156e-12,4.65553e-12,0.865109628217353
"26",26,22,0,20,32,26,22,0,20,32,4.60831e-12,4.60831e-12,4.54363e-12,1.40355141038689
"27",0,78,12,0,10,0,78,12,0,10,3.38305e-12,3.38305e-12,2.29518e-12,32.1564860111438
"28",14,0,26,11,49,14,0,26,11,49,4.74698e-12,4.74698e-12,4.81228e-12,1.37561144137959
"29",57,0,0,21,22,57,0,0,21,22,4.47463e-12,4.47463e-12,4.47919e-12,0.101907867242645
"30",34,56,0,0,10,34,56,0,0,10,4.04736e-12,4.04736e-12,4.22107e-12,4.29193350727386
"31",1,96,0,3,0,1,96,0,3,0,3.23666e-12,3.23666e-12,2.22602e-12,31.2247811015059
"32",22,16,36,21,5,22,16,36,21,5,4.08441e-12,4.08441e-12,4.10586e-12,0.525167649672764
"33",0,0,0,0,100,0,0,0,0,100,5.66275e-12,5.66275e-12,4.38878e-12,22.4973731844069
"34",19,63,18,0,0,19,63,18,0,0,3.22842e-12,3.22842e-12,4.1503e-12,28.5551446218274
"35",14,43,27,0,16,14,43,27,0,16,4.27879e-12,4.27879e-12,4.35484e-12,1.7773716401132
"36",0,5,95,0,0,0,5,95,0,0,2.79042e-12,2.79042e-12,3.04285e-12,9.04630844102321
"38",65,20,0,2,13,65,20,0,2,13,4.16972e-12,4.16972e-12,2.67382e-12,35.8753105724125
"39",42,37,0,3,18,42,37,0,3,18,4.31853e-12,4.31853e-12,4.30322e-12,0.354518783011804
"40",30,33,0,26,11,30,33,0,26,11,4.27264e-12,4.27264e-12,4.12285e-12,3.50579501198323
"41",0,97,3,0,0,0,97,3,0,0,2.29518e-12,2.29518e-12,2.22602e-12,3.01327129026918
"42",0,21,0,79,0,0,21,0,79,0,3.49095e-12,3.49095e-12,4.40138e-12,26.079720419943
"43",3,30,17,32,18,3,30,17,32,18,4.44842e-12,4.44842e-12,3.35594e-12,24.5588321246645
"46",9,15,17,8,51,9,15,17,8,51,4.75478e-12,4.75478e-12,4.38878e-12,7.69751702497277
"47",16,0,0,40,44,16,0,0,40,44,4.73943e-12,4.73943e-12,4.68351e-12,1.17988872079555
"48",0,0,0,100,0,0,0,0,100,0,4.34062e-12,4.34062e-12,3.51981e-12,18.9099713865761
"49",34,0,28,0,38,34,0,28,0,38,4.63207e-12,4.63207e-12,4.62976e-12,0.0498697126770531
"50",30,42,19,0,9,30,42,19,0,9,4.04042e-12,4.04042e-12,3.4851e-12,13.7441157107429
"51",10,2,60,21,7,10,2,60,21,7,4.16484e-12,4.16484e-12,3.51114e-12,15.6956809865445
"52",38,28,10,23,1,38,28,10,23,1,3.87904e-12,3.87904e-12,3.81513e-12,1.64757259528131
"53",5,33,7,17,38,5,33,7,17,38,4.66636e-12,4.66636e-12,4.28215e-12,8.23361249453536
"54",20,6,42,5,27,20,6,42,5,27,4.51792e-12,4.51792e-12,4.62134e-12,2.2891064914828
"57",0,27,37,36,0,0,27,37,36,0,3.26986e-12,3.26986e-12,3.18581e-12,2.57044644113203
"58",0,12,1,87,0,0,12,1,87,0,3.50878e-12,3.50878e-12,4.40138e-12,25.4390414902046
"59",37,7,15,9,32,37,7,15,9,32,4.58616e-12,4.58616e-12,4.64461e-12,1.2744867165559
"60",34,6,14,12,34,34,6,14,12,34,4.61688e-12,4.61688e-12,4.58616e-12,0.665384415449377
"61",43,15,15,0,27,43,15,15,0,27,4.48606e-12,4.48606e-12,4.35037e-12,3.02470319166485
"64",21,0,30,30,19,21,0,30,30,19,4.463e-12,4.463e-12,4.4273e-12,0.799910374187762
"65",25,19,7,26,23,25,19,7,26,23,4.5095e-12,4.5095e-12,4.49365e-12,0.351480208448829
"66",0,38,44,18,0,0,38,44,18,0,3.07368e-12,3.07368e-12,4.08087e-12,32.7682126961818
"67",14,25,6,9,46,14,25,6,9,46,4.71863e-12,4.71863e-12,4.76983e-12,1.08506070617953
"69",0,77,23,0,0,0,77,23,0,0,2.5463e-12,2.5463e-12,2.52899e-12,0.679809920276486
"70",11,0,21,35,33,11,0,21,35,33,4.64758e-12,4.64758e-12,4.67633e-12,0.618601508742178
"71",21,51,16,0,12,21,51,16,0,12,4.1503e-12,4.1503e-12,3.22842e-12,22.2123701901067
"72",56,0,0,44,0,56,0,0,44,0,3.99065e-12,3.99065e-12,3.99709e-12,0.161377219250003
"73",16,4,35,23,22,16,4,35,23,22,4.49478e-12,4.49478e-12,4.4273e-12,1.50129706014533
"74",0,49,26,18,7,0,49,26,18,7,3.45156e-12,3.45156e-12,3.70468e-12,7.33349557881076
"75",12,41,27,1,19,12,41,27,1,19,4.35484e-12,4.35484e-12,4.27879e-12,1.74633281590139
"76",39,11,18,15,17,39,11,18,15,17,4.37441e-12,4.37441e-12,4.02922e-12,7.89112131693188
"77",42,5,0,53,0,42,5,0,53,0,4.04541e-12,4.04541e-12,4.06425e-12,0.465712993244205
"78",48,0,0,22,30,48,0,0,22,30,4.58844e-12,4.58844e-12,4.60372e-12,0.333010783621446
"79",46,29,0,25,0,46,29,0,25,0,3.81513e-12,3.81513e-12,3.87904e-12,1.67517227460139
"80",0,0,81,19,0,0,0,81,19,0,3.4826e-12,3.4826e-12,3.51114e-12,0.819502670418637
"82",0,49,51,0,0,0,49,51,0,0,2.70635e-12,2.70635e-12,2.77381e-12,2.49265616051138
