"","X40","X70","X100","X1.0","X1.1","X1.2","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"1",4,4,2,4,4,2,9.89977e-13,9.89977e-13,1.01277148902985e-12,2.30252713243384
"2",1,5,4,1,5,4,1.00728e-12,1.00728e-12,1.14979720466576e-12,14.1487178009845
"3",1,0,9,1,0,9,1.02278e-12,1.02278e-12,1.21834029430556e-12,19.120465232558
"4",7,0,3,7,0,3,9.95882e-13,9.95882e-13,9.51736069255785e-13,4.43284754059365
"5",3,0,7,3,0,7,1.01869e-12,1.01869e-12,1.13635037621575e-12,11.5501650370324
"6",0,10,0,0,10,0,1.00655e-12,1.00655e-12,1.11247128069464e-12,10.5232011022443
"8",5,0,5,5,0,5,1.01047e-12,1.01047e-12,1.01853655664469e-12,0.798297489751754
"11",0,9,1,0,9,1,1.11956e-12,1.11956e-12,1.11686513357064e-12,0.24070763776447
"12",5,2,3,5,2,3,9.98201e-13,9.98201e-13,9.88798601365627e-13,0.941934403429068
"13",0,6,4,0,6,4,1.31184e-12,1.31184e-12,1.19466504760244e-12,8.93210699456971
"14",0,8,2,0,8,2,1.19232e-12,1.19232e-12,1.17242211521737e-12,1.6688376260255
"16",0,4,6,0,4,6,1.36164e-12,1.36164e-12,1.20399271117622e-12,11.5777510078864
"19",4,5,1,4,5,1,9.77103e-13,9.77103e-13,9.92540462389953e-13,1.57992170630452
"22",2,3,5,2,3,5,1.01212e-12,1.01212e-12,1.12687840686727e-12,11.3384190478667
"23",3,2,5,3,2,5,1.0117e-12,1.0117e-12,1.08704874139946e-12,7.44773563303918
"24",5,3,2,5,3,2,9.88919e-13,9.88919e-13,9.8012158351715e-13,0.889599298107313
"25",6,0,4,6,0,4,1.00423e-12,1.00423e-12,9.76321525575912e-13,2.77909188374061
"28",0,1,9,0,1,9,1.39695e-12,1.39695e-12,1.25065823550198e-12,10.4722262427443
"36",8,0,2,8,0,2,9.84093e-13,9.84093e-13,8.52124969893511e-13,13.4101177537579
"38",6,1,3,6,1,3,9.97147e-13,9.97147e-13,9.47068233864009e-13,5.02220496436238
"43",4,1,5,4,1,5,1.01118e-12,1.01118e-12,1.05035655136671e-12,3.87434001529994
"45",2,4,4,2,4,4,1.00696e-12,1.00696e-12,1.11302202355394e-12,10.5328934172102
"50",0,5,5,0,5,5,1.34008e-12,1.34008e-12,1.19168027141826e-12,11.073945479504
"57",0,3,7,0,3,7,1.37783e-12,1.37783e-12,1.24519017291273e-12,9.62671934035901
"58",4,0,6,4,0,6,1.0152e-12,1.0152e-12,1.06894394199479e-12,5.29392651642913
