"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"1",37,56,1,6,0,37,56,1,6,0,3.38801e-12,3.38801e-12,3.45711551677305e-12,2.03970817007779
"2",70,0,7,0,23,70,0,7,0,23,4.40837e-12,4.40837e-12,4.41911852150666e-12,0.243820766103076
"3",47,0,0,42,11,47,0,0,42,11,4.33056e-12,4.33056e-12,4.31922481443321e-12,0.261748724571154
"4",13,33,5,7,42,13,33,5,7,42,4.68147e-12,4.68147e-12,4.39964514058562e-12,6.02000780554772
"5",0,0,0,87,13,0,0,0,87,13,4.65318e-12,4.65318e-12,4.41982106599353e-12,5.01504205739872
"6",0,0,45,55,0,0,0,45,55,0,3.81129e-12,3.81129e-12,3.88834987315737e-12,2.02188427428436
"7",0,12,33,28,27,0,12,33,28,27,3.99037e-12,3.99037e-12,4.24379485636395e-12,6.35091122787994
"8",8,0,79,13,0,8,0,79,13,0,3.76791e-12,3.76791e-12,3.62670456126208e-12,3.74757992462458
"9",37,0,17,23,23,37,0,17,23,23,4.5047e-12,4.5047e-12,4.39458581470254e-12,2.4444288253926
"10",0,0,79,0,21,0,0,79,0,21,4.19668e-12,4.19668e-12,3.96305954704144e-12,5.56679215376349
"11",0,6,0,74,20,0,6,0,74,20,3.94052e-12,3.94052e-12,4.45302608898667e-12,13.006052221196
"12",100,0,0,0,0,100,0,0,0,0,2.52401e-12,2.52401e-12,4.07066347869207e-12,61.2776288006812
"13",27,4,11,29,29,27,4,11,29,29,4.595e-12,4.595e-12,4.49623264206385e-12,2.14945283865394
"14",0,15,32,28,25,0,15,32,28,25,3.95775e-12,3.95775e-12,4.18275779463947e-12,5.68524526914203
"15",0,100,0,0,0,0,100,0,0,0,2.22602e-12,2.22602e-12,2.96962580206239e-12,33.4051716544501
"16",37,56,5,0,2,37,56,5,0,2,3.4851e-12,3.4851e-12,3.4586333499426e-12,0.759422973728197
"17",16,23,0,60,1,16,23,0,60,1,4.11627e-12,4.11627e-12,3.92332842203e-12,4.68729160064806
"18",24,22,29,11,14,24,22,29,11,14,4.29597e-12,4.29597e-12,3.91178536460282e-12,8.94290778094781
"19",13,44,23,20,0,13,44,23,20,0,3.8044e-12,3.8044e-12,3.48099713141334e-12,8.50075882101421
"20",19,24,0,9,48,19,24,0,9,48,4.73169e-12,4.73169e-12,4.63263187405371e-12,2.09350413797799
"21",0,50,6,18,26,0,50,6,18,26,3.93966e-12,3.93966e-12,3.95195856304688e-12,0.31217320903032
"22",59,19,0,22,0,59,19,0,22,0,3.76881e-12,3.76881e-12,3.89408820359956e-12,3.32407851814118
"23",34,32,0,0,34,34,32,0,0,34,4.57553e-12,4.57553e-12,4.29411584177107e-12,6.15041663433371
"24",3,0,0,23,74,3,0,0,23,74,4.86392e-12,4.86392e-12,5.35794602946868e-12,10.1569522004613
"25",22,32,9,0,37,22,32,9,0,37,4.6156e-12,4.6156e-12,4.29214668654238e-12,7.00782809293747
"26",26,22,0,20,32,26,22,0,20,32,4.60831e-12,4.60831e-12,4.40000619539022e-12,4.52017777905092
"27",0,78,12,0,10,0,78,12,0,10,3.38305e-12,3.38305e-12,3.31083756583961e-12,2.1345364141939
"28",14,0,26,11,49,14,0,26,11,49,4.74698e-12,4.74698e-12,4.76432412987928e-12,0.365371875998632
"29",57,0,0,21,22,57,0,0,21,22,4.47463e-12,4.47463e-12,4.47436893842759e-12,0.00583426054019398
"30",34,56,0,0,10,34,56,0,0,10,4.04736e-12,4.04736e-12,3.62343073848548e-12,10.4742168108229
"31",1,96,0,3,0,1,96,0,3,0,3.23666e-12,3.23666e-12,3.01811574778219e-12,6.75215352300875
"32",22,16,36,21,5,22,16,36,21,5,4.08441e-12,4.08441e-12,3.79921604900458e-12,6.98250055688374
"33",0,0,0,0,100,0,0,0,0,100,5.66275e-12,5.66275e-12,5.76414706575236e-12,1.7905976027965
"34",19,63,18,0,0,19,63,18,0,0,3.22842e-12,3.22842e-12,3.27146241673437e-12,1.33323473198557
"35",14,43,27,0,16,14,43,27,0,16,4.27879e-12,4.27879e-12,3.70985366314945e-12,13.2966641702573
"36",0,5,95,0,0,0,5,95,0,0,2.79042e-12,2.79042e-12,3.45855626487751e-12,23.9439319126695
"38",65,20,0,2,13,65,20,0,2,13,4.16972e-12,4.16972e-12,4.07357443545371e-12,2.30580385604523
"39",42,37,0,3,18,42,37,0,3,18,4.31853e-12,4.31853e-12,3.97255502266455e-12,8.01140613438951
"40",30,33,0,26,11,30,33,0,26,11,4.27264e-12,4.27264e-12,3.93215737498751e-12,7.96890505665093
"41",0,97,3,0,0,0,97,3,0,0,2.29518e-12,2.29518e-12,2.98506571141445e-12,30.0580220904001
"42",0,21,0,79,0,0,21,0,79,0,3.49095e-12,3.49095e-12,3.95658778450451e-12,13.3384260589384
"43",3,30,17,32,18,3,30,17,32,18,4.44842e-12,4.44842e-12,3.99294564832444e-12,10.2390141145745
"46",9,15,17,8,51,9,15,17,8,51,4.75478e-12,4.75478e-12,4.68136337431193e-12,1.54405936106558
"47",16,0,0,40,44,16,0,0,40,44,4.73943e-12,4.73943e-12,4.87510877239337e-12,2.86276561513448
"48",0,0,0,100,0,0,0,0,100,0,4.34062e-12,4.34062e-12,4.218944767179e-12,2.80317633934787
"49",34,0,28,0,38,34,0,28,0,38,4.63207e-12,4.63207e-12,4.55000251293786e-12,1.77172380948768
"50",30,42,19,0,9,30,42,19,0,9,4.04042e-12,4.04042e-12,3.64923011134642e-12,9.68191150062579
"51",10,2,60,21,7,10,2,60,21,7,4.16484e-12,4.16484e-12,3.84650122789928e-12,7.64348143267748
"52",38,28,10,23,1,38,28,10,23,1,3.87904e-12,3.87904e-12,3.75477505830224e-12,3.20349730082072
"53",5,33,7,17,38,5,33,7,17,38,4.66636e-12,4.66636e-12,4.33500644532068e-12,7.10089994512462
"54",20,6,42,5,27,20,6,42,5,27,4.51792e-12,4.51792e-12,4.22297875776924e-12,6.52825287368435
"57",0,27,37,36,0,0,27,37,36,0,3.26986e-12,3.26986e-12,3.60980617817973e-12,10.3963526933793
