"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayPLS","resultDelayPLS","abs(errorPLS)"
"1",37,56,1,6,0,37,56,1,6,0,1.82506e-12,1.82506e-12,1.68784807429764e-12,7.51821450814543
"2",70,0,7,0,23,70,0,7,0,23,2.02231e-12,2.02231e-12,2.31727785943759e-12,14.5856896043433
"3",47,0,0,42,11,47,0,0,42,11,1.99129e-12,1.99129e-12,2.06586484187293e-12,3.74505179421021
"4",13,33,5,7,42,13,33,5,7,42,2.08352e-12,2.08352e-12,1.81444950903697e-12,12.9142264515355
"6",0,0,45,55,0,0,0,45,55,0,1.73427e-12,1.73427e-12,1.60793507575574e-12,7.28461682692186
"7",0,12,33,28,27,0,12,33,28,27,1.25244e-12,1.25244e-12,1.70705080107915e-12,36.2980103700892
"8",8,0,79,13,0,8,0,79,13,0,1.87037e-12,1.87037e-12,1.66352112787749e-12,11.0592488182822
"9",37,0,17,23,23,37,0,17,23,23,2.03559e-12,2.03559e-12,2.04391157875503e-12,0.408804265840756
"10",0,0,79,0,21,0,0,79,0,21,1.9183e-12,1.9183e-12,1.71168157943777e-12,10.7709128166725
"11",0,6,0,74,20,0,6,0,74,20,1.23831e-12,1.23831e-12,1.70413209457496e-12,37.6175670530775
"12",100,0,0,0,0,100,0,0,0,0,1.73967e-12,1.73967e-12,2.44062890278353e-12,40.2926361196968
"13",27,4,11,29,29,27,4,11,29,29,2.05717e-12,2.05717e-12,1.97934175209858e-12,3.7832676882037
"14",0,15,32,28,25,0,15,32,28,25,1.246e-12,1.246e-12,1.68385974842047e-12,35.1412318154472
"15",0,100,0,0,0,0,100,0,0,0,9.61469e-13,9.61469e-13,1.19933794892148e-12,24.740157916842
"16",37,56,5,0,2,37,56,5,0,2,1.85322e-12,1.85322e-12,1.6975051991865e-12,8.4023915570468
"17",16,23,0,60,1,16,23,0,60,1,1.93545e-12,1.93545e-12,1.66065607256263e-12,14.1979347147884
"18",24,22,29,11,14,24,22,29,11,14,1.98949e-12,1.98949e-12,1.79232484202744e-12,9.9103367180816
"19",13,44,23,20,0,13,44,23,20,0,1.87947e-12,1.87947e-12,1.53533185907803e-12,18.3103822312656
