"","X10","X30","X50","X70","X90","X0.9","X1.0","X1.1","X1.2","X1.3","WorstCase","expectedDelayEucl","resultDelayEucl","abs(errorEucl)"
"1",37,56,1,6,0,37,56,1,6,0,1.82506e-12,1.82506e-12,1.85322e-12,1.54296297108041
"2",70,0,7,0,23,70,0,7,0,23,2.02231e-12,2.02231e-12,2.00934e-12,0.64134578773779
"3",47,0,0,42,11,47,0,0,42,11,1.99129e-12,1.99129e-12,1.91429e-12,3.8668400885858
"4",13,33,5,7,42,13,33,5,7,42,2.08352e-12,2.08352e-12,2.09256e-12,0.433881124251267
"6",0,0,45,55,0,0,0,45,55,0,1.73427e-12,1.73427e-12,1.73654e-12,0.130890807083084
"7",0,12,33,28,27,0,12,33,28,27,1.25244e-12,1.25244e-12,1.246e-12,0.514196288844182
"8",8,0,79,13,0,8,0,79,13,0,1.87037e-12,1.87037e-12,1.59133e-12,14.9189732512818
"9",37,0,17,23,23,37,0,17,23,23,2.03559e-12,2.03559e-12,2.0089e-12,1.31116776954101
"10",0,0,79,0,21,0,0,79,0,21,1.9183e-12,1.9183e-12,1.98795e-12,3.63081895428243
"11",0,6,0,74,20,0,6,0,74,20,1.23831e-12,1.23831e-12,2.01793e-12,62.9583868336685
"12",100,0,0,0,0,100,0,0,0,0,1.73967e-12,1.73967e-12,1.94828e-12,11.9913546822098
"13",27,4,11,29,29,27,4,11,29,29,2.05717e-12,2.05717e-12,2.05727e-12,0.00486104697230427
"14",0,15,32,28,25,0,15,32,28,25,1.246e-12,1.246e-12,1.25244e-12,0.516853932584271
"15",0,100,0,0,0,0,100,0,0,0,9.61469e-13,9.61469e-13,9.69082e-13,0.791809200296645
"16",37,56,5,0,2,37,56,5,0,2,1.85322e-12,1.85322e-12,1.82506e-12,1.51951738055925
"17",16,23,0,60,1,16,23,0,60,1,1.93545e-12,1.93545e-12,1.92277e-12,0.655144798367324
"18",24,22,29,11,14,24,22,29,11,14,1.98949e-12,1.98949e-12,1.99304e-12,0.178437690061295
"19",13,44,23,20,0,13,44,23,20,0,1.87947e-12,1.87947e-12,1.87632e-12,0.167600440549731
"20",19,24,0,9,48,19,24,0,9,48,2.09627e-12,2.09627e-12,2.09256e-12,0.176981018666478
"21",0,50,6,18,26,0,50,6,18,26,1.24457e-12,1.24457e-12,1.24438e-12,0.0152663168805356
"22",59,19,0,22,0,59,19,0,22,0,1.87753e-12,1.87753e-12,1.88418e-12,0.354188747982742
"23",34,32,0,0,34,34,32,0,0,34,2.06012e-12,2.06012e-12,2.04501e-12,0.73345242024736
"24",3,0,0,23,74,3,0,0,23,74,2.13092e-12,2.13092e-12,2.13619e-12,0.247311020592056
"25",22,32,9,0,37,22,32,9,0,37,2.06893e-12,2.06893e-12,2.07893e-12,0.483341630697987
"26",26,22,0,20,32,26,22,0,20,32,2.06257e-12,2.06257e-12,2.0481e-12,0.70155194732785
"27",0,78,12,0,10,0,78,12,0,10,1.15054e-12,1.15054e-12,9.9555e-13,13.4710657604255
"28",14,0,26,11,49,14,0,26,11,49,2.09903e-12,2.09903e-12,2.08405e-12,0.713662977661111
