"","X40","X70","X100","X1.0","X1.1","X1.2","WorstCase","expectedDelayEucl","resultDelayEucl","abs(errorEucl)"
"1",4,4,2,4,4,2,2.43639e-12,2.43639e-12,2.31958e-12,4.79438841893128
"2",1,5,4,1,5,4,2.59624e-12,2.59624e-12,2.80591e-12,8.07590977721628
"3",1,0,9,1,0,9,2.73038e-12,2.73038e-12,3.41486e-12,25.0690380093613
"4",7,0,3,7,0,3,2.47637e-12,2.47637e-12,2.55717e-12,3.26284036715032
"5",6,4,0,6,4,0,2.06742e-12,2.06742e-12,2.01978e-12,2.30432132803204
"6",4,6,0,4,6,0,2.13203e-12,2.13203e-12,2.31958e-12,8.79678053310695
"7",3,0,7,3,0,7,2.69257e-12,2.69257e-12,2.66026e-12,1.19996880303949
"8",0,0,10,0,0,10,3.41486e-12,3.41486e-12,2.73038e-12,20.0441599362785
"9",0,10,0,0,10,0,2.20094e-12,2.20094e-12,2.45393e-12,11.4946341108799
"11",5,0,5,5,0,5,2.61621e-12,2.61621e-12,2.55717e-12,2.25669957686881
"12",2,8,0,2,8,0,2.16834e-12,2.16834e-12,2.17816e-12,0.452881005746342
"16",0,9,1,0,9,1,2.45393e-12,2.45393e-12,2.20094e-12,10.3095850329879
"17",5,2,3,5,2,3,2.50697e-12,2.50697e-12,2.42292e-12,3.3526528039825
"18",10,0,0,10,0,0,1.73255e-12,1.73255e-12,1.955e-12,12.8394562927477
"20",0,6,4,0,6,4,2.80591e-12,2.80591e-12,2.59624e-12,7.47244209543428
"21",0,8,2,0,8,2,2.61252e-12,2.61252e-12,2.45393e-12,6.07038415016918
"24",0,4,6,0,4,6,2.91859e-12,2.91859e-12,2.86987e-12,1.66929921640243
"27",4,5,1,4,5,1,2.31958e-12,2.31958e-12,2.43639e-12,5.03582545115926
"32",2,3,5,2,3,5,2.6372e-12,2.6372e-12,2.6372e-12,0
"33",3,2,5,3,2,5,2.63205e-12,2.63205e-12,2.6372e-12,0.195664975969301
"34",5,3,2,5,3,2,2.42292e-12,2.42292e-12,2.43639e-12,0.555940765687679
"35",6,0,4,6,0,4,2.55717e-12,2.55717e-12,2.47637e-12,3.15974299714138
"38",7,3,0,7,3,0,2.01978e-12,2.01978e-12,2.06742e-12,2.35867272673262
"43",0,1,9,0,1,9,2.99646e-12,2.99646e-12,2.73038e-12,8.87981151091621
"50",8,2,0,8,2,0,1.955e-12,1.955e-12,2.01978e-12,3.31355498721229
"53",8,0,2,8,0,2,2.36084e-12,2.36084e-12,2.47637e-12,4.893597194219
"57",6,1,3,6,1,3,2.49297e-12,2.49297e-12,2.47637e-12,0.6658724332824
"59",1,9,0,1,9,0,2.17816e-12,2.17816e-12,2.20094e-12,1.04583685312374
"65",4,1,5,4,1,5,2.62532e-12,2.62532e-12,2.61621e-12,0.347005317447024
"68",2,4,4,2,4,4,2.59246e-12,2.59246e-12,2.59624e-12,0.145807457009939
"78",0,5,5,0,5,5,2.86987e-12,2.86987e-12,2.59624e-12,9.53457822131317
"80",3,7,0,3,7,0,2.15316e-12,2.15316e-12,2.13203e-12,0.981348343829536
"90",5,5,0,5,5,0,2.10407e-12,2.10407e-12,2.06742e-12,1.74186220040207
"91",0,3,7,0,3,7,2.95374e-12,2.95374e-12,2.91859e-12,1.19001672455937
"93",4,0,6,4,0,6,2.66026e-12,2.66026e-12,2.69257e-12,1.21454293941194
